name	year	gross	runtime	genre	imdb	metascore	director	votes	title_length	genre_num
21 Grams	2003	16290476	124	Crime	7.6	70	Alejandro G. Iñárritu	224545	8	2
Boksuneun naui geot	2002	45289	129	Crime	7.6	56	Chan-wook Park	62659	19	2
Finding Neverland	2004	51680613	106	Biography	7.6	67	Marc Forster	198677	17	4
25th Hour	2002	13060843	135	Drama	7.6	68	Spike Lee	169708	9	1
The Butterfly Effect	2004	57938693	113	Drama	7.6	30	Eric Bress	451479	20	1
28 Days Later...	2002	45064915	113	Drama	7.6	73	Danny Boyle	376853	16	1
The Royal Tenenbaums	2001	52364010	110	Comedy	7.6	76	Wes Anderson	266842	20	6
Y tu mamá también	2001	13622333	106	Drama	7.6	88	Alfonso Cuarón	115827	17	1
Harry Potter and the Sorcerer's Stone	2001	317575550	152	Adventure	7.6	64	Chris Columbus	658185	37	7
The Others	2001	96522687	101	Horror	7.6	74	Alejandro Amenábar	337651	10	9
Blow	2001	52990775	124	Biography	7.6	52	Ted Demme	240714	4	4
Enemy at the Gates	2001	51401758	131	Drama	7.6	53	Jean-Jacques Annaud	243729	18	1
Minority Report	2002	132072926	145	Action	7.6	80	Steven Spielberg	508417	15	3
The Hurricane	1999	50668906	146	Biography	7.6	74	Norman Jewison	91557	13	4
American Psycho	2000	15070285	101	Comedy	7.6	64	Mary Harron	490062	15	6
Lola rennt	1998	7267585	81	Crime	7.6	77	Tom Tykwer	188317	10	2
The Thin Red Line	1998	36400491	170	Drama	7.6	78	Terrence Malick	172710	17	1
Mulan	1998	120620254	88	Animation	7.6	71	Tony Bancroft	256906	5	8
Fear and Loathing in Las Vegas	1998	10680275	118	Adventure	7.6	41	Terry Gilliam	259753	30	7
Dark City	1998	14378331	100	Mystery	7.6	66	Alex Proyas	187927	9	10
Sleepers	1996	49100000	147	Crime	7.6	49	Barry Levinson	186734	8	2
Lost Highway	1997	3796699	134	Mystery	7.6	52	David Lynch	131101	12	10
Sense and Sensibility	1995	43182776	136	Drama	7.6	84	Ang Lee	102598	21	1
Die Hard: With a Vengeance	1995	100012499	128	Action	7.6	58	John McTiernan	364420	26	3
Dead Man	1995	1037847	121	Adventure	7.6	62	Jim Jarmusch	90442	8	7
The Bridges of Madison County	1995	71516617	135	Drama	7.6	69	Clint Eastwood	73172	29	1
Apollo 13	1995	173837933	140	Adventure	7.6	77	Ron Howard	269197	9	7
Trois couleurs: Blanc	1994	1464625	92	Comedy	7.6	88	Krzysztof Kieslowski	64390	21	6
Falling Down	1993	40903593	113	Action	7.6	56	Joel Schumacher	171640	12	3
Dazed and Confused	1993	7993039	102	Comedy	7.6	78	Richard Linklater	165465	18	6
My Cousin Vinny	1992	52929168	120	Comedy	7.6	68	Jonathan Lynn	107325	15	6
Omohide poro poro	1991	453243	118	Animation	7.6	90	Isao Takahata	27071	17	8
Delicatessen	1991	1794187	99	Comedy	7.6	66	Marc Caro	80487	12	6
Home Alone	1990	285761243	103	Comedy	7.6	63	Chris Columbus	488817	10	6
The Godfather: Part III	1990	66666062	162	Crime	7.6	60	Francis Ford Coppola	359809	23	2
When Harry Met Sally...	1989	92823600	95	Comedy	7.6	76	Rob Reiner	195663	23	6
The Little Mermaid	1989	111543479	83	Animation	7.6	88	Ron Clements	237696	18	8
The Naked Gun: From the Files of Police Squad!	1988	78756177	85	Comedy	7.6	76	David Zucker	152871	46	6
Planes, Trains & Automobiles	1987	49530280	93	Comedy	7.6	72	John Hughes	124773	28	6
Lethal Weapon	1987	65207127	109	Action	7.6	68	Richard Donner	236894	13	3
Blood Simple	1984	2150000	99	Crime	7.6	82	Joel Coen	87745	12	2
On Golden Pond	1981	119285432	109	Drama	7.6	68	Mark Rydell	27650	14	1
Mad Max 2	1981	12465371	96	Action	7.6	77	George Miller	166588	9	3
The Warriors	1979	22490039	92	Action	7.6	65	Walter Hill	93878	12	3
