name	year	gross	runtime	genre	imdb	metascore	director	votes	title_length	genre_num
Lilja 4-ever	2002	181655	109	Crime	7.8	82	Lukas Moodysson	42673	12	2
Les triplettes de Belleville	2003	7002255	80	Animation	7.8	91	Sylvain Chomet	50622	28	8
The Count of Monte Cristo	2002	54234062	131	Action	7.8	61	Kevin Reynolds	129022	25	3
Waking Life	2001	2892011	99	Animation	7.8	83	Richard Linklater	60684	11	8
Remember the Titans	2000	115654751	113	Biography	7.8	48	Boaz Yakin	198089	19	4
Wo hu cang long	2000	128078872	120	Action	7.8	94	Ang Lee	253228	15	3
Todo sobre mi madre	1999	8264530	101	Drama	7.8	87	Pedro Almodóvar	89058	19	1
Cast Away	2000	233632142	143	Adventure	7.8	73	Robert Zemeckis	524235	9	7
The Boondock Saints	1999	25812	108	Action	7.8	44	Troy Duffy	227143	19	3
The Insider	1999	28965197	157	Biography	7.8	84	Michael Mann	159886	11	4
October Sky	1999	32481825	108	Biography	7.8	71	Joe Johnston	82855	11	4
Shrek	2001	267665011	90	Animation	7.8	84	Andrew Adamson	613941	5	8
Titanic	1997	659325379	194	Drama	7.8	75	James Cameron	1046089	7	1
Gattaca	1997	12339633	106	Drama	7.8	64	Andrew Niccol	280845	7	1
The Game	1997	48323648	129	Action	7.8	61	David Fincher	345096	8	3
Breaking the Waves	1996	4040691	159	Drama	7.8	76	Lars von Trier	62428	18	1
Ed Wood	1994	5887457	127	Biography	7.8	70	Tim Burton	164937	7	4
What's Eating Gilbert Grape	1993	9170214	118	Drama	7.8	73	Lasse Hallström	215034	27	1
Tombstone	1993	56505065	130	Action	7.8	50	George P. Cosmatos	126871	9	3
The Sandlot	1993	32416586	101	Comedy	7.8	55	David Mickey Evans	78963	11	6
The Remains of the Day	1993	22954968	134	Drama	7.8	84	James Ivory	66065	22	1
Naked	1993	1769305	132	Comedy	7.8	84	Mike Leigh	34635	5	6
The Fugitive	1993	183875760	130	Action	7.8	87	Andrew Davis	267684	12	3
A Bronx Tale	1993	17266971	121	Crime	7.8	80	Robert De Niro	128171	12	2
Night on Earth	1991	2015810	129	Comedy	7.8	68	Jim Jarmusch	55362	14	6
La double vie de Véronique	1991	1999955	98	Drama	7.8	86	Krzysztof Kieslowski	42376	26	1
Boyz n the Hood	1991	57504069	112	Crime	7.8	76	John Singleton	126082	15	2
Misery	1990	61276872	107	Drama	7.8	75	Rob Reiner	184740	6	1
Awakenings	1990	52096475	121	Biography	7.8	74	Penny Marshall	125276	10	4
Glory	1989	26830000	122	Biography	7.8	78	Edward Zwick	122779	5	4
Back to the Future Part II	1989	118500000	108	Adventure	7.8	57	Robert Zemeckis	481918	26	7
Mississippi Burning	1988	34603943	128	Crime	7.8	65	Alan Parker	88214	19	2
Predator	1987	59735548	107	Action	7.8	45	John McTiernan	371387	8	3
Evil Dead II	1987	5923044	84	Action	7.8	72	Sam Raimi	148359	12	3
Ferris Bueller's Day Off	1986	70136369	103	Comedy	7.8	61	John Hughes	321382	24	6
Down by Law	1986	1436000	107	Comedy	7.8	75	Jim Jarmusch	47834	11	6
The Goonies	1985	61503218	114	Adventure	7.8	62	Richard Donner	244430	11	7
The Color Purple	1985	98467863	154	Drama	7.8	78	Steven Spielberg	78321	16	1
The Breakfast Club	1985	45875171	97	Comedy	7.8	66	John Hughes	357026	18	6
The Killing Fields	1984	34700291	141	Biography	7.8	76	Roland Joffé	51585	18	4
Ghostbusters	1984	238632124	105	Action	7.8	71	Ivan Reitman	355413	12	3
The Right Stuff	1983	21500000	193	Adventure	7.8	91	Philip Kaufman	56235	15	7
The King of Comedy	1982	2500000	109	Comedy	7.8	73	Martin Scorsese	88511	18	6
E.T. the Extra-Terrestrial	1982	435110554	115	Family	7.8	91	Steven Spielberg	372490	26	13
Kramer vs. Kramer	1979	106260000	105	Drama	7.8	77	Robert Benton	133351	17	1
The Outlaw Josey Wales	1976	31800000	135	Western	7.8	69	Clint Eastwood	65659	22	5
The Conversation	1974	4420000	113	Drama	7.8	85	Francis Ford Coppola	98611	16	1
La planète sauvage	1973	193817	72	Animation	7.8	73	René Laloux	25229	18	8
The Day of the Jackal	1973	16056255	143	Crime	7.8	80	Fred Zinnemann	37445	21	2
Cabaret	1972	42765000	124	Drama	7.8	80	Bob Fosse	48334	7	1
Willy Wonka & the Chocolate Factory	1971	4e+06	100	Family	7.8	67	Mel Stuart	178731	35	13
Midnight Cowboy	1969	44785053	113	Drama	7.8	79	John Schlesinger	101124	15	1
Wait Until Dark	1967	17550741	108	Thriller	7.8	81	Terence Young	27733	15	14
Guess Who's Coming to Dinner	1967	56700000	108	Comedy	7.8	63	Stanley Kramer	39642	28	6
My Fair Lady	1964	7.2e+07	170	Drama	7.8	95	George Cukor	86525	12	1
Mary Poppins	1964	102272727	139	Comedy	7.8	88	Robert Stevenson	158029	12	6
The Longest Day	1962	39100000	178	Action	7.8	75	Ken Annakin	52141	15	3
The Innocents	1961	2616000	100	Horror	7.8	88	Jack Clayton	27007	13	9
Bride of Frankenstein	1935	4360000	75	Drama	7.8	95	James Whale	43542	21	1
God's Own Country	2017	335609	104	Drama	7.7	85	Francis Lee	25198	17	1
Deadpool 2	2018	324591735	119	Action	7.7	66	David Leitch	478586	10	3
Wind River	2017	33800859	107	Crime	7.7	73	Taylor Sheridan	205444	10	2
Get Out	2017	176040665	104	Horror	7.7	85	Jordan Peele	492851	7	9
Mission: Impossible - Fallout	2018	220159104	147	Action	7.7	86	Christopher McQuarrie	291257	29	3
En man som heter Ove	2015	3358518	116	Comedy	7.7	70	Hannes Holm	47444	20	6
What We Do in the Shadows	2014	3333000	86	Comedy	7.7	76	Jemaine Clement	157498	25	6
Omoide no Mânî	2014	765127	103	Animation	7.7	72	James Simone	32798	14	8
The Theory of Everything	2014	35893537	123	Biography	7.7	72	James Marsh	404182	24	4
Kingsman: The Secret Service	2014	128261724	129	Action	7.7	60	Matthew Vaughn	590440	28	3
The Fault in Our Stars	2014	124872350	126	Drama	7.7	69	Josh Boone	344312	22	1
Me and Earl and the Dying Girl	2015	6743776	105	Comedy	7.7	74	Alfonso Gomez-Rejon	123210	30	6
Birdman or (The Unexpected Virtue of Ignorance)	2014	42340598	119	Comedy	7.7	87	Alejandro G. Iñárritu	580291	47	6
La vie d'Adèle	2013	2199675	180	Drama	7.7	89	Abdellatif Kechiche	138741	14	1
Kai po che!	2013	1122527	130	Drama	7.7	40	Abhishek Kapoor	32628	11	1
The Broken Circle Breakdown	2012	175058	111	Drama	7.7	70	Felix van Groeningen	39379	27	1
Captain America: The Winter Soldier	2014	259766572	136	Action	7.7	70	Anthony Russo	736182	35	3
Nebraska	2013	17654912	115	Adventure	7.7	87	Alexander Payne	112298	8	7
Wreck-It Ralph	2012	189422889	101	Animation	7.7	72	Rich Moore	380195	14	8
Le Petit Prince	2015	1339152	108	Animation	7.7	70	Mark Osborne	56720	15	8
Detachment	2011	71177	98	Drama	7.7	52	Tony Kaye	77071	10	1
Midnight in Paris	2011	56816662	96	Comedy	7.7	81	Woody Allen	388089	17	6
The Lego Movie	2014	257760692	100	Animation	7.7	83	Christopher Miller	323982	14	8
Gravity	2013	274092705	91	Drama	7.7	96	Alfonso Cuarón	769145	7	1
Star Trek Into Darkness	2013	228778661	132	Action	7.7	72	J.J. Abrams	463188	23	3
Beasts of No Nation	2015	83861	137	Drama	7.7	79	Cary Joji Fukunaga	73964	19	1
The Social Network	2010	96962694	120	Biography	7.7	95	David Fincher	624982	18	4
X: First Class	2011	146408305	131	Action	7.7	65	Matthew Vaughn	645512	14	3
The Hangover	2009	277322503	100	Comedy	7.7	73	Todd Phillips	717559	12	6
Skyfall	2012	304360277	143	Action	7.7	81	Sam Mendes	630614	7	3
Silver Linings Playbook	2012	132092958	122	Comedy	7.7	81	David O. Russell	661871	23	6
Argo	2012	136025503	120	Biography	7.7	86	Ben Affleck	572581	4	4
(500) Days of Summer	2009	32391374	95	Comedy	7.7	76	Marc Webb	472242	20	6
Harry Potter and the Deathly Hallows: Part 1	2010	295983305	146	Adventure	7.7	65	David Yates	479120	44	7
Gake no ue no Ponyo	2008	15090400	101	Animation	7.7	86	Hayao Miyazaki	125317	19	8
Frost/Nixon	2008	18593156	122	Biography	7.7	80	Ron Howard	103330	11	4
Papurika	2006	881302	90	Animation	7.7	81	Satoshi Kon	71379	8	8
Changeling	2008	35739802	141	Biography	7.7	63	Clint Eastwood	239203	10	4
Flipped	2010	1752214	90	Comedy	7.7	45	Rob Reiner	81446	7	6
This Is England	2006	327919	101	Crime	7.7	86	Shane Meadows	115576	15	2
Ex Machina	2014	25442958	108	Drama	7.7	78	Alex Garland	474141	10	1
Efter brylluppet	2006	412544	120	Drama	7.7	78	Susanne Bier	32001	16	1
The Last King of Scotland	2006	17605861	123	Biography	7.7	74	Kevin Macdonald	175355	25	4
Zodiac	2007	33080084	157	Crime	7.7	78	David Fincher	466080	6	2
Lucky Number Slevin	2006	22494487	110	Action	7.7	53	Paul McGuigan	299524	19	3
Joyeux Noël	2005	1054361	116	Drama	7.7	70	Christian Carion	28003	11	1
Control	2007	871577	122	Biography	7.7	78	Anton Corbijn	61609	7	4
Tangled	2010	200821936	100	Animation	7.7	71	Nathan Greno	405922	7	8
Zwartboek	2006	4398392	145	Drama	7.7	71	Paul Verhoeven	72643	9	1
Brokeback Mountain	2005	83043761	134	Drama	7.7	87	Ang Lee	323103	18	1
3:10 to Yuma	2007	53606916	122	Action	7.7	76	James Mangold	288797	12	3
